participant_id,analysis_session,start_time,end_time,low_freq_hz,high_freq_hz,confidence,notes,speed_factor,created_at
P_20260417_1950_FWTDL,1,2022-08-17T15:34:19.600Z,2022-08-17T19:13:29.700Z,0.129,0.615,confirmed,,1.2455430728837267,2026-04-18T02:50:19.262Z
P_20260417_1950_FWTDL,1,2022-08-18T11:37:33.300Z,2022-08-18T15:19:21.800Z,0.152,0.664,confirmed,,1.2455430728837267,2026-04-18T02:50:27.308Z
P_20260504_1236_RPGGT,1,2022-08-17T06:54:26.000Z,2022-08-17T08:47:46.000Z,0.326,0.69,confirmed,,1.2455430728837267,2026-05-04T16:40:48.483Z
P_20260504_1236_RPGGT,1,2022-08-17T09:16:40.000Z,2022-08-17T11:59:59.000Z,0.36,1.114,confirmed,,1.2455430728837267,2026-05-04T16:40:52.493Z
P_20260504_1236_RPGGT,1,2022-08-17T11:56:40.000Z,2022-08-17T13:20:00.000Z,0.941,1.586,confirmed,,1.2455430728837267,2026-05-04T16:41:07.577Z
P_20260504_1236_RPGGT,1,2022-08-17T16:43:20.000Z,2022-08-17T19:13:20.000Z,0.18,0.661,confirmed,,1.2455430728837267,2026-05-04T16:41:36.927Z
P_20260504_1236_RPGGT,1,2022-08-17T18:59:59.000Z,2022-08-17T20:18:53.000Z,0.136,0.392,confirmed,,1.2455430728837267,2026-05-04T16:41:42.027Z
P_20260504_1236_RPGGT,1,2022-08-18T08:26:39.000Z,2022-08-18T10:37:46.000Z,0.263,0.499,confirmed,,1.2455430728837267,2026-05-04T16:42:27.212Z
P_20260504_1236_RPGGT,1,2022-08-18T10:38:53.000Z,2022-08-18T13:13:19.000Z,0.681,1.084,confirmed,,1.2455430728837267,2026-05-04T16:42:31.060Z
P_20260504_1236_RPGGT,1,2022-08-19T17:01:06.000Z,2022-08-19T19:05:33.000Z,0.452,1.23,confirmed,,1.2455430728837267,2026-05-04T16:42:47.844Z
P_20260504_1236_RPGGT,2,2022-01-15T14:46:40.000Z,2022-01-15T16:08:53.000Z,0.616,1.358,confirmed,,1.2455430728837267,2026-05-04T16:44:24.077Z
P_20260504_1236_RPGGT,2,2022-01-15T16:40:00.000Z,2022-01-15T17:37:46.000Z,0.616,1.302,confirmed,,1.2455430728837267,2026-05-04T16:44:27.311Z
P_20260504_1236_RPGGT,2,2022-01-15T17:55:33.000Z,2022-01-15T19:11:06.000Z,0.817,1.457,confirmed,,1.2455430728837267,2026-05-04T16:44:33.876Z
P_20260504_1236_RPGGT,2,2022-01-15T18:39:57.000Z,2022-01-15T20:13:17.000Z,0.452,0.73,confirmed,,1.2455430728837267,2026-05-04T16:44:37.145Z
P_20260504_1236_RPGGT,2,2022-01-16T14:28:53.000Z,2022-01-16T17:34:26.000Z,0.513,0.902,confirmed,,1.2455430728837267,2026-05-04T16:44:49.876Z
P_20260504_1236_RPGGT,2,2022-01-16T19:03:20.000Z,2022-01-16T20:00:00.000Z,0.465,0.954,confirmed,,1.2455430728837267,2026-05-04T16:44:56.509Z
P_20260504_1236_RPGGT,2,2022-01-16T20:03:19.000Z,2022-01-16T21:16:39.000Z,0.223,1.084,confirmed,,1.2455430728837267,2026-05-04T16:44:59.575Z
P_20260519_1438_VFGQX,1,2022-01-14T15:33:00.000Z,2022-01-14T19:21:51.000Z,0.167,0.82,possibly,"Faint intermittent, possible harmonics",1.25,2026-05-19T13:46:15.493Z
P_20260519_1438_VFGQX,1,2022-01-14T19:50:54.000Z,2022-01-14T21:06:36.000Z,0.074,0.762,possibly,"Starts off chirp-like, becomes more noisy",1.25,2026-05-19T13:46:50.430Z
P_20260519_1438_VFGQX,1,2022-01-15T09:52:22.000Z,2022-01-15T12:35:12.000Z,0.022,0.042,possibly,"Has some tonality, but may not be EMIC",1.25,2026-05-19T13:47:41.663Z
P_20260519_1438_VFGQX,1,2022-01-15T15:03:57.000Z,2022-01-15T20:04:06.000Z,0.438,1.413,confirmed,Intermittent,1.25,2026-05-19T13:48:15.587Z
P_20260519_1438_VFGQX,1,2022-01-15T21:24:12.000Z,2022-01-15T22:47:49.000Z,0.092,0.227,possibly,,1.25,2026-05-19T13:48:33.446Z
P_20260519_1438_VFGQX,1,2022-01-16T14:28:45.000Z,2022-01-16T17:52:04.000Z,0.54,0.93,confirmed,,1.25,2026-05-19T13:48:59.470Z
P_20260519_1438_VFGQX,1,2022-01-16T19:06:53.000Z,2022-01-16T21:13:38.000Z,0.213,1.313,confirmed,,1.25,2026-05-19T13:49:08.572Z
P_20260519_1438_VFGQX,1,2022-01-16T21:50:36.000Z,2022-01-17T00:00:00.000Z,0.139,0.297,possibly,,1.25,2026-05-19T13:49:15.096Z
P_20260519_1438_VFGQX,2,2022-08-17T00:29:02.000Z,2022-08-17T00:57:12.000Z,0.16,0.304,possibly,Faint,1.25,2026-05-19T13:49:43.932Z
P_20260519_1438_VFGQX,2,2022-08-17T02:54:16.000Z,2022-08-17T03:50:36.000Z,0.154,0.268,possibly,Faint,1.25,2026-05-19T13:49:30.404Z
P_20260519_1438_VFGQX,2,2022-08-17T04:29:20.000Z,2022-08-17T04:49:35.000Z,0.151,0.271,possibly,Faint,1.25,2026-05-19T13:51:06.593Z
P_20260519_1438_VFGQX,2,2022-08-17T05:23:54.000Z,2022-08-17T06:12:19.000Z,0.3,0.518,possibly,Faint,1.25,2026-05-19T13:51:12.425Z
P_20260519_1438_VFGQX,2,2022-08-17T07:22:44.000Z,2022-08-17T07:57:56.000Z,0.348,0.618,possibly,,1.25,2026-05-19T13:49:54.710Z
P_20260519_1438_VFGQX,2,2022-08-17T09:30:22.000Z,2022-08-17T11:00:08.000Z,0.374,1.088,confirmed,,1.25,2026-05-19T13:50:01.306Z
P_20260519_1438_VFGQX,2,2022-08-17T11:23:54.000Z,2022-08-17T14:01:28.000Z,0.846,1.458,confirmed,Intermittent,1.25,2026-05-19T13:50:05.256Z
P_20260519_1438_VFGQX,2,2022-08-17T17:31:50.000Z,2022-08-17T20:46:21.000Z,0.065,0.466,confirmed,Intermittent chirp becomes windy,1.25,2026-05-19T13:50:11.630Z
P_20260519_1438_VFGQX,2,2022-08-18T07:58:49.000Z,2022-08-18T09:43:34.000Z,0.136,0.523,confirmed,"Faint, intermittent",1.25,2026-05-19T13:50:20.680Z
P_20260519_1438_VFGQX,2,2022-08-18T10:50:27.000Z,2022-08-18T12:39:36.000Z,0.551,1.077,confirmed,Intermittent,1.25,2026-05-19T13:50:26.070Z
P_20260519_1438_VFGQX,2,2022-08-18T19:28:01.000Z,2022-08-18T21:32:07.000Z,0.08,0.351,possibly,Chirp becomes noisy,1.25,2026-05-19T13:50:37.430Z
P_20260519_1438_VFGQX,2,2022-08-19T17:30:04.000Z,2022-08-19T22:54:51.000Z,0.117,1.874,possibly,,1.25,2026-05-19T13:50:56.236Z
P_20260529_0631_OKZHL,1,2022-01-15T14:52:13.000Z,2022-01-15T15:38:34.000Z,0.568,1.825,confirmed,,1.25,2026-05-29T12:32:06.125Z
P_20260529_0631_OKZHL,1,2022-01-15T15:38:03.000Z,2022-01-15T16:26:30.000Z,0.608,0.978,confirmed,,1.25,2026-05-29T12:32:32.947Z
